title,row_count,first_pass_action,matched_rule_names,matched_rule_descriptions,manual_override,final_action,final_reason
"Compression behaviours of concrete-filled Q690 high-strength steel tubular columns at low temperatures, Jia-Bao Yan; Yan-Li Luo; Chen Liang; Xuchuan Lin; Yun-Biao Luo; Lingxin Zhang, Journal of Constructional Steel Research, 2021",15,drop_candidate,environmental_exposure,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain.",,drop,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain."
"Low-temperature compression behaviour of square CFST columns using Q960 ultra-high strength steel, Jia-Bao Yan; Yan-Li Luo; Lingfeng Su; Xuchuan Lin; Yun-Biao Luo; Lingxin Zhang, Journal of Constructional Steel Research, 2021",15,drop_candidate,environmental_exposure,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain.",,drop,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain."
"Structures | Behavior of new bolt-welded joint of CFST column with imperfection under eccentric compression | Peng Yu, Minggui Peng, Weijing Yun, Xiao Guo | 2025",15,drop_candidate,defects_or_damage|special_member_or_joint,"Defects or damage states such as debonding, notch, gap defects, void defects, imperfections, or local corrosion. | Clearly special members outside an ordinary CFST column dataset, such as bridge braces, piles under lateral load, or bolt-welded joints.",,drop,"Defects or damage states such as debonding, notch, gap defects, void defects, imperfections, or local corrosion. | Clearly special members outside an ordinary CFST column dataset, such as bridge braces, piles under lateral load, or bolt-welded joints."
"Construction and Building Materials | Axial compressive behavior of FRP confined square high-strength CFST columns with artificial corrosion pits | Xiya Zhao, Zhihua Chen, Yansheng Du... | 2025",14,drop_candidate,environmental_exposure|strengthening_or_repair|defects_or_damage,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain. | External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features. | Defects or damage states such as debonding, notch, gap defects, void defects, imperfections, or local corrosion.",,drop,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain. | External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features. | Defects or damage states such as debonding, notch, gap defects, void defects, imperfections, or local corrosion."
"Engineering Structures | Axial compressive performance of circular CFST columns strengthened with high strength steel wire mesh-reinforced ECC | Enming Liu, Yuhong Yan, Yongda Liu... | 2026",14,drop_candidate,strengthening_or_repair,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features.",,drop,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features."
"Engineering Structures | Behavior of FRP-interlayer-steel confined concrete columns subjected to eccentric compression | Chenyang Wei, Changyong Liu, Qing Hu... | 2024",14,drop_candidate,strengthening_or_repair,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features.",,drop,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features."
"Engineering Structures | Testing and analysis on nonlinear creep behaviour of concrete-filled steel tubes with circular cross-section | Yu Yin Wang, Yue Geng, Jie Chen... | 2019",14,drop_candidate,load_history_or_rate,"Non-monotonic or time-history effects such as cyclic loading, repeated loading, impact, creep, preload, or sustained loading.",,drop,"Non-monotonic or time-history effects such as cyclic loading, repeated loading, impact, creep, preload, or sustained loading."
"Structures | Compressive load–strain response of CFRP-stirrups reinforced high-strength CFST columns and a unified steel–FRP confinement model | Zihan Deng, Qidong Hu, Wenjin Wang... | 2025",14,drop_candidate,strengthening_or_repair,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features.",,drop,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features."
"Structures | Tests and analysis of HSC-filled steel tube columns strengthened by CFRP and angle steel frame under eccentric compression | Chao-Qun Zeng, Zhaomeng Chen, Zhijun Deng, Zi-Ming Yang | 2025",14,drop_candidate,strengthening_or_repair,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features.",,drop,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features."
"Thin-Walled Structures | Eccentric compression behavior of CFST columns strengthened with steel tube and sandwiched grout jackets | Xiaozhong Li, Sumei Zhang, Boyang Song... | 2025",14,drop_candidate,strengthening_or_repair,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features.",,drop,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features."
"Thin-Walled Structures | Mechanical behavior and design of HSC-filled steel tube strengthened by angles and CFRP sheet under eccentrical compression | Zi-Ming Yang, Ju Chen, Fei Xu, Yu-Hang Wang | 2025",14,drop_candidate,strengthening_or_repair,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features.",,drop,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features."
"Structures | Eccentric performance of slender CFST with machining defects representing local corrosion | Jianwei Li, Chen Jia, Lanhui Guo | 2023",13,drop_candidate,environmental_exposure|defects_or_damage,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain. | Defects or damage states such as debonding, notch, gap defects, void defects, imperfections, or local corrosion.",,drop,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain. | Defects or damage states such as debonding, notch, gap defects, void defects, imperfections, or local corrosion."
"Structures | Mechanical properties of CFST column with bolt-welded joints under eccentric compression | Weijing Yun, Siliu Yu, Peng Yu, Xiao Guo, Jian Zheng | 2023",13,drop_candidate,special_member_or_joint,"Clearly special members outside an ordinary CFST column dataset, such as bridge braces, piles under lateral load, or bolt-welded joints.",,drop,"Clearly special members outside an ordinary CFST column dataset, such as bridge braces, piles under lateral load, or bolt-welded joints."
"Thin-Walled Structures | Experimental and numerical investigation into locally corroded circular concrete-filled steel tubular stub columns strengthened by CFRP | Haijia Huang, Lanhui Guo, Ou Zhao... | 2023",13,drop_candidate,strengthening_or_repair,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features.",,drop,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features."
"Thin-Walled Structures | Static strength of CFRP-strengthened preloaded circular concrete-filled steel tube stub columns, Part I: Experimental test | C.N. Xiong, Y.B. Shao, L.W. Tong, K.S. Dai, Y.X. Luo | 2023",13,drop_candidate,strengthening_or_repair|load_history_or_rate,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features. | Non-monotonic or time-history effects such as cyclic loading, repeated loading, impact, creep, preload, or sustained loading.",,drop,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features. | Non-monotonic or time-history effects such as cyclic loading, repeated loading, impact, creep, preload, or sustained loading."
"Behaviour of concrete-filled steel tubes under static and variable repeated loading, P. Thayalan; T. Aly; I. Patnaikuni, Journal of Constructional Steel Research, 2009",12,drop_candidate,load_history_or_rate,"Non-monotonic or time-history effects such as cyclic loading, repeated loading, impact, creep, preload, or sustained loading.",,drop,"Non-monotonic or time-history effects such as cyclic loading, repeated loading, impact, creep, preload, or sustained loading."
"Case Studies in Construction Materials | Enhancing the fire-resistant performance of concrete-filled steel tube columns with steel fiber-reinforced concrete | Christo George, S. Senthil Selvan, V. Sathish Kumar, G. Murali, Jayant Giri, Emad Makki, T. Sathish | 2024",12,drop_candidate,environmental_exposure,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain.",,drop,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain."
"Effects of Core Concrete Initial Imperfection on Performance of Eccentrically Loaded CFST Columns, Lin-Hai Han; Yong Ye; Fei-Yu Liao, Journal of Structural Engineering, 2016",12,drop_candidate,defects_or_damage,"Defects or damage states such as debonding, notch, gap defects, void defects, imperfections, or local corrosion.",,drop,"Defects or damage states such as debonding, notch, gap defects, void defects, imperfections, or local corrosion."
"Experiment on Debonding in Concrete-Filled Steel Single Tube Columns Subjected to Eccentric Loading, XUE Junqing; CHEN Baochun; BRISEGHELLA Bruno, Journal of Building Structures (Supplementary Issue 2), 2009",12,drop_candidate,defects_or_damage,"Defects or damage states such as debonding, notch, gap defects, void defects, imperfections, or local corrosion.",,drop,"Defects or damage states such as debonding, notch, gap defects, void defects, imperfections, or local corrosion."
"FRP-Confined Circular Concrete-Filled Thin Steel Tubes under Axial Compression, Y. M. Hu; T. Yu; J. G. Teng, Journal of Composites for Construction, 2011",12,drop_candidate,strengthening_or_repair,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features.",,drop,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features."
"Gao S., Peng Z., Guo L. (2019). Experimental study on axial compression behavior of concrete-filled steel tubular short columns under salt spray corrosion. Journal of Building Structures, 40(Suppl. 1), 214-219.",12,drop_candidate,environmental_exposure,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain.",,drop,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain."
"Journal of Constructional Steel Research | Behavior of concrete-filled steel tubes subjected to axial impact loading | Yong Zhu, Hua Yang, Xiaoqiang Yang... | 2020",12,drop_candidate,load_history_or_rate,"Non-monotonic or time-history effects such as cyclic loading, repeated loading, impact, creep, preload, or sustained loading.",,drop,"Non-monotonic or time-history effects such as cyclic loading, repeated loading, impact, creep, preload, or sustained loading."
"Journal of Constructional Steel Research | Concentric axial load test for square CFST columns strengthened with steel jackets | Li Xu, Hong-Song Hu, Lin-Lin Zhang... | 2025",12,drop_candidate,strengthening_or_repair,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features.",,drop,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features."
"Structures | Study on the axial compressive capacity of CFST columns with gap defects | Zhiwei Shao, Xiaoxiong Zha, Jiahui Deng | 2024",12,drop_candidate,defects_or_damage,"Defects or damage states such as debonding, notch, gap defects, void defects, imperfections, or local corrosion.",,drop,"Defects or damage states such as debonding, notch, gap defects, void defects, imperfections, or local corrosion."
"工程科学与技术 | CFRP 加固含缺陷方钢管混凝土短柱轴压性能研究 | 牛海成, 秦子恒, 李雨萱... | 2024",12,drop_candidate,strengthening_or_repair,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features.",,drop,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features."
"Behaviors of axially loaded square concrete-filled steel tube (CFST) Stub columns with notch in steel tube, Fa-xing Ding; Lei Fu; Zhi-wu Yu, Thin-Walled Structures, 2017",11,drop_candidate,defects_or_damage,"Defects or damage states such as debonding, notch, gap defects, void defects, imperfections, or local corrosion.",,drop,"Defects or damage states such as debonding, notch, gap defects, void defects, imperfections, or local corrosion."
"Effect of preload on the axial capacity of concrete-filled composite columns, J.Y. Richard Liew; D.X. Xiong, Journal of Constructional Steel Research, 2009",11,drop_candidate,load_history_or_rate,"Non-monotonic or time-history effects such as cyclic loading, repeated loading, impact, creep, preload, or sustained loading.",,drop,"Non-monotonic or time-history effects such as cyclic loading, repeated loading, impact, creep, preload, or sustained loading."
"Experimental Study on Eccentrically Compressed Concrete Filled Circular CFRP Steel Tubular Columns, WU Lingxiao; ZHOU Jinzhi; LENG Jun; LONG Yuhua, Unknown, 2021",11,drop_candidate,strengthening_or_repair,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features.",,drop,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features."
"Journal of Building Engineering | Eccentric compression behavior of CFRP-confined reactive powder concrete-filled steel tube slender columns | Song Li, Chu-jie Jiao, Song-song He, Wan-hui Feng | 2024",11,drop_candidate,strengthening_or_repair,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features.",,drop,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features."
"Journal of Constructional Steel Research | Effect of creep on the strength of high strength concrete-filled steel tubes | Saad Younas, Ehab Hamed, Brian Uy | 2023",11,drop_candidate,load_history_or_rate,"Non-monotonic or time-history effects such as cyclic loading, repeated loading, impact, creep, preload, or sustained loading.",,drop,"Non-monotonic or time-history effects such as cyclic loading, repeated loading, impact, creep, preload, or sustained loading."
"Journal of Constructional Steel Research | Mechanical investigations of axially-compressed circular CFST-CG short columns strengthened by UHPC jackets | Qihan Shen, Guanya Wang, Fengqin Wang... | 2026",11,drop_candidate,strengthening_or_repair,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features.",,drop,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features."
