Ref.No.,fc (MPa),type (规格备注),试件标号,fy (MPa),fcy150,R再生骨料取代率(%),b (mm),h (mm),t (mm),r0 (mm),L (mm),e1 (mm),e2 (mm),Nexp (kN)
"Low-temperature compression behaviour of square CFST columns using Q960 ultra-high strength steel, Jia-Bao Yan; Yan-Li Luo; Lingfeng Su; Xuchuan Lin; Yun-Biao Luo; Lingxin Zhang, Journal of Constructional Steel Research, 2021",39.7,cylinder,t4T-30-1,955,39.7,0,150,150,4.1,0,450,0,0,3370
"Low-temperature compression behaviour of square CFST columns using Q960 ultra-high strength steel, Jia-Bao Yan; Yan-Li Luo; Lingfeng Su; Xuchuan Lin; Yun-Biao Luo; Lingxin Zhang, Journal of Constructional Steel Research, 2021",47.3,cylinder,t4T-60-1,973,47.3,0,150,150,4.1,0,450,0,0,3734
"Low-temperature compression behaviour of square CFST columns using Q960 ultra-high strength steel, Jia-Bao Yan; Yan-Li Luo; Lingfeng Su; Xuchuan Lin; Yun-Biao Luo; Lingxin Zhang, Journal of Constructional Steel Research, 2021",47.3,cylinder,t4T-60-2,973,47.3,0,150,150,4.1,0,450,0,0,3615
"Low-temperature compression behaviour of square CFST columns using Q960 ultra-high strength steel, Jia-Bao Yan; Yan-Li Luo; Lingfeng Su; Xuchuan Lin; Yun-Biao Luo; Lingxin Zhang, Journal of Constructional Steel Research, 2021",52.6,cylinder,t4T-90-1,994,52.6,0,150,150,4.1,0,450,0,0,3140
"Low-temperature compression behaviour of square CFST columns using Q960 ultra-high strength steel, Jia-Bao Yan; Yan-Li Luo; Lingfeng Su; Xuchuan Lin; Yun-Biao Luo; Lingxin Zhang, Journal of Constructional Steel Research, 2021",52.6,cylinder,t4T-90-2,994,52.6,0,150,150,4.1,0,450,0,0,3623
"Low-temperature compression behaviour of square CFST columns using Q960 ultra-high strength steel, Jia-Bao Yan; Yan-Li Luo; Lingfeng Su; Xuchuan Lin; Yun-Biao Luo; Lingxin Zhang, Journal of Constructional Steel Research, 2021",31.3,cylinder,t3T20-1,961,31.3,0,150,150,3.1,0,450,0,0,2247
"Low-temperature compression behaviour of square CFST columns using Q960 ultra-high strength steel, Jia-Bao Yan; Yan-Li Luo; Lingfeng Su; Xuchuan Lin; Yun-Biao Luo; Lingxin Zhang, Journal of Constructional Steel Research, 2021",31.3,cylinder,t3T20-2,961,31.3,0,150,150,3.1,0,450,0,0,2358
"Low-temperature compression behaviour of square CFST columns using Q960 ultra-high strength steel, Jia-Bao Yan; Yan-Li Luo; Lingfeng Su; Xuchuan Lin; Yun-Biao Luo; Lingxin Zhang, Journal of Constructional Steel Research, 2021",47.3,cylinder,t3T-60-1,1008,47.3,0,150,150,3.1,0,450,0,0,2698
"Low-temperature compression behaviour of square CFST columns using Q960 ultra-high strength steel, Jia-Bao Yan; Yan-Li Luo; Lingfeng Su; Xuchuan Lin; Yun-Biao Luo; Lingxin Zhang, Journal of Constructional Steel Research, 2021",47.3,cylinder,t3T-60-2,1008,47.3,0,150,150,3.1,0,450,0,0,2734
"Low-temperature compression behaviour of square CFST columns using Q960 ultra-high strength steel, Jia-Bao Yan; Yan-Li Luo; Lingfeng Su; Xuchuan Lin; Yun-Biao Luo; Lingxin Zhang, Journal of Constructional Steel Research, 2021",31.3,cylinder,t6T20-1,907,31.3,0,150,150,6,0,450,0,0,4275
"Low-temperature compression behaviour of square CFST columns using Q960 ultra-high strength steel, Jia-Bao Yan; Yan-Li Luo; Lingfeng Su; Xuchuan Lin; Yun-Biao Luo; Lingxin Zhang, Journal of Constructional Steel Research, 2021",31.3,cylinder,t6T20-2,907,31.3,0,150,150,6,0,450,0,0,4310
"Low-temperature compression behaviour of square CFST columns using Q960 ultra-high strength steel, Jia-Bao Yan; Yan-Li Luo; Lingfeng Su; Xuchuan Lin; Yun-Biao Luo; Lingxin Zhang, Journal of Constructional Steel Research, 2021",47.3,cylinder,t6T-60-1,951,47.3,0,150,150,6,0,450,0,0,4689
"Low-temperature compression behaviour of square CFST columns using Q960 ultra-high strength steel, Jia-Bao Yan; Yan-Li Luo; Lingfeng Su; Xuchuan Lin; Yun-Biao Luo; Lingxin Zhang, Journal of Constructional Steel Research, 2021",47.3,cylinder,t6T-60-2,951,47.3,0,150,150,6,0,450,0,0,4405
"Analysis of the basic mechanical properties of recycled concrete filled in steel tube after high temperature, Zhao Lei, Unknown, 2013",68.62,Cube 150x150x150mm,S-R0-20,358,59.62,0,150,150,3,0,450,0,0,1997.97
"Analysis of the basic mechanical properties of recycled concrete filled in steel tube after high temperature, Zhao Lei, Unknown, 2013",60.464,Cube 150x150x150mm,S-R1-20,358,51.869,25,150,150,3,0,450,0,0,1984.61
"Analysis of the basic mechanical properties of recycled concrete filled in steel tube after high temperature, Zhao Lei, Unknown, 2013",57.493,Cube 150x150x150mm,S-R2-20,358,49.069,50,150,150,3,0,450,0,0,1689.11
"Analysis of the basic mechanical properties of recycled concrete filled in steel tube after high temperature, Zhao Lei, Unknown, 2013",57.956,Cube 150x150x150mm,S-R3-20,358,49.504,75,150,150,3,0,450,0,0,1634.59
"Analysis of the basic mechanical properties of recycled concrete filled in steel tube after high temperature, Zhao Lei, Unknown, 2013",38.25,Cube 150x150x150mm,S-R4-20,358,31.291,100,150,150,3,0,450,0,0,1580.54
"Analysis of the basic mechanical properties of recycled concrete filled in steel tube after high temperature, Zhao Lei, Unknown, 2013",68.62,Cube 150x150x150mm,S-R0-300,358,59.62,0,150,150,3,0,450,0,0,1955.15
"Analysis of the basic mechanical properties of recycled concrete filled in steel tube after high temperature, Zhao Lei, Unknown, 2013",60.464,Cube 150x150x150mm,S-R1-300,358,51.869,25,150,150,3,0,450,0,0,1889.57
"Analysis of the basic mechanical properties of recycled concrete filled in steel tube after high temperature, Zhao Lei, Unknown, 2013",57.493,Cube 150x150x150mm,S-R2-300,358,49.069,50,150,150,3,0,450,0,0,1824.92
"Analysis of the basic mechanical properties of recycled concrete filled in steel tube after high temperature, Zhao Lei, Unknown, 2013",57.956,Cube 150x150x150mm,S-R3-300,358,49.504,75,150,150,3,0,450,0,0,1742.25
"Analysis of the basic mechanical properties of recycled concrete filled in steel tube after high temperature, Zhao Lei, Unknown, 2013",38.25,Cube 150x150x150mm,S-R4-300,358,31.291,100,150,150,3,0,450,0,0,1682.25
"Analysis of the basic mechanical properties of recycled concrete filled in steel tube after high temperature, Zhao Lei, Unknown, 2013",68.62,Cube 150x150x150mm,S-R0-600,358,59.62,0,150,150,3,0,450,0,0,1609.9
"Analysis of the basic mechanical properties of recycled concrete filled in steel tube after high temperature, Zhao Lei, Unknown, 2013",60.464,Cube 150x150x150mm,S-R1-600,358,51.869,25,150,150,3,0,450,0,0,1520.19
"Analysis of the basic mechanical properties of recycled concrete filled in steel tube after high temperature, Zhao Lei, Unknown, 2013",57.493,Cube 150x150x150mm,S-R2-600,358,49.069,50,150,150,3,0,450,0,0,1480.66
"Analysis of the basic mechanical properties of recycled concrete filled in steel tube after high temperature, Zhao Lei, Unknown, 2013",57.956,Cube 150x150x150mm,S-R3-600,358,49.504,75,150,150,3,0,450,0,0,1395.7
"Analysis of the basic mechanical properties of recycled concrete filled in steel tube after high temperature, Zhao Lei, Unknown, 2013",38.25,Cube 150x150x150mm,S-R4-600,358,31.291,100,150,150,3,0,450,0,0,1374.97
"Analysis of the basic mechanical properties of recycled concrete filled in steel tube after high temperature, Zhao Lei, Unknown, 2013",60.464,Cube 150x150x150mm,S-R1-800,358,51.869,25,150,150,3,0,450,0,0,1166.3
"Analysis of the basic mechanical properties of recycled concrete filled in steel tube after high temperature, Zhao Lei, Unknown, 2013",57.956,Cube 150x150x150mm,S-R3-800,358,49.504,75,150,150,3,0,450,0,0,1034.12
"Behaviour of fire-exposed concrete-filled steel tubular beam columns repaired with CFRP wraps, Zhong Tao; Lin-Hai Han, Unknown, 2007",75,Cube 150,S-1,318.5,65.742,0,140,140,3.8,0,1010,0,0,1685
"Behaviour of fire-exposed concrete-filled steel tubular beam columns repaired with CFRP wraps, Zhong Tao; Lin-Hai Han, Unknown, 2007",75,Cube 150,SF-1-0,318.5,65.742,0,140,140,3.8,0,1010,0,0,590
"Behaviour of fire-exposed concrete-filled steel tubular beam columns repaired with CFRP wraps, Zhong Tao; Lin-Hai Han, Unknown, 2007",75,Cube 150,SF-1-2,318.5,65.742,0,140,140,3.8,0,1010,0,0,785
"Behaviour of fire-exposed concrete-filled steel tubular beam columns repaired with CFRP wraps, Zhong Tao; Lin-Hai Han, Unknown, 2007",75,Cube 150,S-2a,318.5,65.742,0,140,140,3.8,0,1010,50,50,865
"Behaviour of fire-exposed concrete-filled steel tubular beam columns repaired with CFRP wraps, Zhong Tao; Lin-Hai Han, Unknown, 2007",75,Cube 150,S-2b,318.5,65.742,0,140,140,3.8,0,1010,50,50,822
"Behaviour of fire-exposed concrete-filled steel tubular beam columns repaired with CFRP wraps, Zhong Tao; Lin-Hai Han, Unknown, 2007",75,Cube 150,SF-2-0,318.5,65.742,0,140,140,3.8,0,1010,50,50,307
"Behaviour of fire-exposed concrete-filled steel tubular beam columns repaired with CFRP wraps, Zhong Tao; Lin-Hai Han, Unknown, 2007",75,Cube 150,SF-2-1,318.5,65.742,0,140,140,3.8,0,1010,50,50,357
"Behaviour of fire-exposed concrete-filled steel tubular beam columns repaired with CFRP wraps, Zhong Tao; Lin-Hai Han, Unknown, 2007",75,Cube 150,SF-2-2,318.5,65.742,0,140,140,3.8,0,1010,50,50,395
"Behaviour of fire-exposed concrete-filled steel tubular beam columns repaired with CFRP wraps, Zhong Tao; Lin-Hai Han, Unknown, 2007",75,Cube 150,S-3,318.5,65.742,0,140,140,3.8,0,2020,0,0,1567
"Behaviour of fire-exposed concrete-filled steel tubular beam columns repaired with CFRP wraps, Zhong Tao; Lin-Hai Han, Unknown, 2007",75,Cube 150,SF-3-2,318.5,65.742,0,140,140,3.8,0,2020,0,0,445
"Behaviour of fire-exposed concrete-filled steel tubular beam columns repaired with CFRP wraps, Zhong Tao; Lin-Hai Han, Unknown, 2007",75,Cube 150,S-4a,318.5,65.742,0,140,140,3.8,0,2020,50,50,700
"Behaviour of fire-exposed concrete-filled steel tubular beam columns repaired with CFRP wraps, Zhong Tao; Lin-Hai Han, Unknown, 2007",75,Cube 150,S-4b,318.5,65.742,0,140,140,3.8,0,2020,50,50,715
"Behaviour of fire-exposed concrete-filled steel tubular beam columns repaired with CFRP wraps, Zhong Tao; Lin-Hai Han, Unknown, 2007",75,Cube 150,SF-4-0,318.5,65.742,0,140,140,3.8,0,2020,50,50,230
"Behaviour of fire-exposed concrete-filled steel tubular beam columns repaired with CFRP wraps, Zhong Tao; Lin-Hai Han, Unknown, 2007",75,Cube 150,SF-4-2,318.5,65.742,0,140,140,3.8,0,2020,50,50,253
"Behaviour of concrete filled steel tubular (CFST) stub columns under eccentric partial compression, You-Fu Yang; Lin-Hai Han, Unknown, 2010",59.3,cube,Ss-1,324.4,50.77,0,150,150,3,0,450,0,0,846
"Behaviour of concrete filled steel tubular (CFST) stub columns under eccentric partial compression, You-Fu Yang; Lin-Hai Han, Unknown, 2010",59.3,cube,Ss-2,324.4,50.77,0,150,150,3,0,450,15,0,797
"Behaviour of concrete filled steel tubular (CFST) stub columns under eccentric partial compression, You-Fu Yang; Lin-Hai Han, Unknown, 2010",59.3,cube,Ss-3,324.4,50.77,0,150,150,3,0,450,30,0,778
"Behaviour of concrete filled steel tubular (CFST) stub columns under eccentric partial compression, You-Fu Yang; Lin-Hai Han, Unknown, 2010",59.3,cube,Ss-4,324.4,50.77,0,150,150,3,0,450,15,15,767
"Behaviour of concrete filled steel tubular (CFST) stub columns under eccentric partial compression, You-Fu Yang; Lin-Hai Han, Unknown, 2010",59.3,cube,Ss-5,324.4,50.77,0,150,150,3,0,450,30,30,689
"Behaviour of concrete filled steel tubular (CFST) stub columns under eccentric partial compression, You-Fu Yang; Lin-Hai Han, Unknown, 2010",59.3,cube,Scfst-1,324.4,50.77,0,150,150,3,0,450,0,0,1618
"Behaviour of concrete filled steel tubular (CFST) stub columns under eccentric partial compression, You-Fu Yang; Lin-Hai Han, Unknown, 2010",59.3,cube,Scfst-2,324.4,50.77,0,150,150,3,0,450,15,0,1260
"Behaviour of concrete filled steel tubular (CFST) stub columns under eccentric partial compression, You-Fu Yang; Lin-Hai Han, Unknown, 2010",59.3,cube,Scfst-3,324.4,50.77,0,150,150,3,0,450,30,0,1244
"Behaviour of concrete filled steel tubular (CFST) stub columns under eccentric partial compression, You-Fu Yang; Lin-Hai Han, Unknown, 2010",59.3,cube,Scfst-4,324.4,50.77,0,150,150,3,0,450,15,15,1280
"Behaviour of concrete filled steel tubular (CFST) stub columns under eccentric partial compression, You-Fu Yang; Lin-Hai Han, Unknown, 2010",59.3,cube,Scfst-5,324.4,50.77,0,150,150,3,0,450,30,30,1193
"Behaviour of concrete filled steel tubular (CFST) stub columns under eccentric partial compression, You-Fu Yang; Lin-Hai Han, Unknown, 2010",59.3,cube,Rp-1a,324.4,50.77,0,180,120,3,0,540,0,0,957
"Behaviour of concrete filled steel tubular (CFST) stub columns under eccentric partial compression, You-Fu Yang; Lin-Hai Han, Unknown, 2010",59.3,cube,Rp-2,324.4,50.77,0,180,120,3,0,540,18,0,929
"Behaviour of concrete filled steel tubular (CFST) stub columns under eccentric partial compression, You-Fu Yang; Lin-Hai Han, Unknown, 2010",59.3,cube,Rp-3,324.4,50.77,0,180,120,3,0,540,36,0,843
"Behaviour of concrete filled steel tubular (CFST) stub columns under eccentric partial compression, You-Fu Yang; Lin-Hai Han, Unknown, 2010",59.3,cube,Rr-1a,324.4,50.77,0,180,120,3,0,540,0,0,811
"Behaviour of concrete filled steel tubular (CFST) stub columns under eccentric partial compression, You-Fu Yang; Lin-Hai Han, Unknown, 2010",59.3,cube,Rr-2,324.4,50.77,0,180,120,3,0,540,18,0,752
"Behaviour of concrete filled steel tubular (CFST) stub columns under eccentric partial compression, You-Fu Yang; Lin-Hai Han, Unknown, 2010",59.3,cube,Rr-3,324.4,50.77,0,180,120,3,0,540,36,0,747
"Behaviour of concrete filled steel tubular (CFST) stub columns under eccentric partial compression, You-Fu Yang; Lin-Hai Han, Unknown, 2010",59.3,cube,Rr-4,324.4,50.77,0,180,120,3,0,540,18,12,754
"Behaviour of concrete filled steel tubular (CFST) stub columns under eccentric partial compression, You-Fu Yang; Lin-Hai Han, Unknown, 2010",59.3,cube,Rr-5,324.4,50.77,0,180,120,3,0,540,36,24,736
"Behaviour of concrete filled steel tubular (CFST) stub columns under eccentric partial compression, You-Fu Yang; Lin-Hai Han, Unknown, 2010",59.3,cube,Rcfst-1a,324.4,50.77,0,180,120,3,0,540,0,0,1476
"Behaviour of concrete filled steel tubular (CFST) stub columns under eccentric partial compression, You-Fu Yang; Lin-Hai Han, Unknown, 2010",59.3,cube,Rcfst-2,324.4,50.77,0,180,120,3,0,540,36,0,1140
"Behaviour of concrete filled steel tubular (CFST) stub columns under eccentric partial compression, You-Fu Yang; Lin-Hai Han, Unknown, 2010",59.3,cube,Rcfst-3,324.4,50.77,0,180,120,3,0,540,18,12,1147
"Behaviour of concrete filled steel tubular (CFST) stub columns under eccentric partial compression, You-Fu Yang; Lin-Hai Han, Unknown, 2010",59.3,cube,Rcfst-4,324.4,50.77,0,180,120,3,0,540,36,24,939
"Axial compressive behaviours of square CFST stub columns at low temperatures, Jia-Bao Yan; Xin Dong; Tao Wang, Unknown, 2019",34,Cube 100,St3T20-1,337,26.119,0,120.2,119.7,3.1,0,350,0,0,1044
"Axial compressive behaviours of square CFST stub columns at low temperatures, Jia-Bao Yan; Xin Dong; Tao Wang, Unknown, 2019",34,Cube 100,St3T20-2,337,26.119,0,120.2,119.7,3.1,0,350,0,0,1000
"Axial compressive behaviours of square CFST stub columns at low temperatures, Jia-Bao Yan; Xin Dong; Tao Wang, Unknown, 2019",37.4,Cube 100,St3T-30,355,29.027,0,120.2,119.7,3.1,0,350,0,0,1202
"Axial compressive behaviours of square CFST stub columns at low temperatures, Jia-Bao Yan; Xin Dong; Tao Wang, Unknown, 2019",48.8,Cube 100,St3T-60-1,369,38.952,0,120.2,119.7,3.1,0,350,0,0,1299
"Axial compressive behaviours of square CFST stub columns at low temperatures, Jia-Bao Yan; Xin Dong; Tao Wang, Unknown, 2019",48.8,Cube 100,St3T-60-2,369,38.952,0,120.2,119.7,3.1,0,350,0,0,1261
"Axial compressive behaviours of square CFST stub columns at low temperatures, Jia-Bao Yan; Xin Dong; Tao Wang, Unknown, 2019",59.2,Cube 100,St3T-80-1,379,48.203,0,120.2,119.7,3.1,0,350,0,0,1423
